Llegada Handball 24;2835,4268;;;3276,7421;;;3182,09;0,2792;667,0104;3502,4372;;;;;Limpiando;1;;2836,08;192,9182;198,7061;0;5;1;3;10;0;En Espera;2835,4268;Handball;;;;;;;;;;;;;;;
Fin de Limpieza 25;2836,08;;;3276,7421;;;3182,09;;;3502,4372;Handball;0,4775;93,425;2929,505;Ocupada;0;;;192,9182;198,7061;0,6531;5;1;4;10;0;Jugando;2835,4268;Handball;;;;;;;;;;;;;;;
Fin Ocupacion 26;2929,505;;;3276,7421;;;3182,09;;;3502,4372;;;;;Limpiando;0;10;2939,505;192,9182;198,7061;0,6531;5;1;4;10;0;Finalizo;2835,4268;Handball;;;;;;;;;;;;;;;
Fin de Limpieza 27;2939,505;;;3276,7421;;;3182,09;;;3502,4372;;;;;Libre;0;;;192,9182;198,7061;0,6531;5;1;4;10;0;;;;;;;;;;;;;;;;;;
Llegada Futbol 28;3182,09;;;3276,7421;0,6838;690,8767;3872,9667;;;3502,4372;Futbol;0,6589;93,178;3275,268;Ocupada;0;;;192,9182;198,7061;0,6531;5;2;4;11;0;Jugando;3182,09;Futbol;;;;;;;;;;;;;;;
Fin Ocupacion 29;3275,268;;;3276,7421;;;3872,9667;;;3502,4372;;;;;Limpiando;0;10;3285,268;192,9182;198,7061;0,6531;5;2;4;11;0;Finalizo;3182,09;Futbol;;;;;;;;;;;;;;;
Llegada Basket 30;3276,7421;0,6352;512,4673;3789,2094;;;3872,9667;;;3502,4372;;;;;Limpiando;1;;3285,268;192,9182;198,7061;0,6531;5;2;4;12;0;En Espera;3276,7421;Basket;;;;;;;;;;;;;;;
Fin de Limpieza 31;3285,268;;;3789,2094;;;3872,9667;;;3502,4372;Basket;0,359;91,5399;3376,8079;Ocupada;0;;;201,4441;198,7061;0,6531;6;2;4;12;0;Jugando;3276,7421;Basket;;;;;;;;;;;;;;;
Fin Ocupacion 32;3376,8079;;;3789,2094;;;3872,9667;;;3502,4372;;;;;Limpiando;0;10;3386,8079;201,4441;198,7061;0,6531;6;2;4;12;0;Finalizo;3276,7421;Basket;;;;;;;;;;;;;;;
Fin de Limpieza 33;3386,8079;;;3789,2094;;;3872,9667;;;3502,4372;;;;;Libre;0;;;201,4441;198,7061;0,6531;6;2;4;12;0;;;;;;;;;;;;;;;;;;
Llegada Handball 34;3502,4372;;;3789,2094;;;3872,9667;0,8252;798,0698;4300,5071;Handball;0,7472;112,304;3614,7413;Ocupada;0;;;201,4441;198,7061;0,6531;6;2;5;13;0;Jugando;3502,4372;Handball;;;;;;;;;;;;;;;
Fin Ocupacion 35;3614,7413;;;3789,2094;;;3872,9667;;;4300,5071;;;;;Limpiando;0;10;3624,7413;201,4441;198,7061;0,6531;6;2;5;13;0;Finalizo;3502,4372;Handball;;;;;;;;;;;;;;;
Fin de Limpieza 36;3624,7413;;;3789,2094;;;3872,9667;;;4300,5071;;;;;Libre;0;;;201,4441;198,7061;0,6531;6;2;5;13;0;;;;;;;;;;;;;;;;;;
Llegada Basket 37;3789,2094;0,4378;465,0917;4254,3011;;;3872,9667;;;4300,5071;Basket;0,7604;115,624;3904,8333;Ocupada;0;;;201,444;198,7061;0,6531;7;2;5;14;0;Jugando;3789,2094;Basket;;;;;;;;;;;;;;;
Llegada Futbol 38;3872,9667;;;4254,3011;0,308;220,9788;4093,9455;;;4300,5071;;;;3904,8333;Ocupada;1;;;201,444;198,7061;0,6531;7;2;5;15;0;Jugando;3789,2094;Basket;En Espera;3872,9667;Futbol;;;;;;;;;;;;
Fin Ocupacion 39;3904,8333;;;4254,3011;;;4093,9455;;;4300,5071;Futbol;0,8994;97,988;4002,8212;Ocupada;0;;;201,444;230,5726;0,6531;7;3;5;15;0;Finalizo;3789,2094;Basket;Jugando;3872,9667;Futbol;;;;;;;;;;;;
Fin Ocupacion 40;4002,8212;;;4254,3011;;;4093,9455;;;4300,5071;;;;;Limpiando;0;10;4012,8212;201,444;230,5726;0,6531;7;3;5;15;0;;;;Finalizo;3872,9667;Futbol;;;;;;;;;;;;
Fin de Limpieza 41;4012,8212;;;4254,3011;;;4093,9455;;;4300,5071;;;;;Libre;0;;;201,444;230,5726;0,6531;7;3;5;15;0;;;;;;;;;;;;;;;;;;
Llegada Futbol 42;4093,9455;;;4254,3011;0,055;33,9571;4127,9025;;;4300,5071;Futbol;0,3335;86,67;4180,6155;Ocupada;0;;;201,444;230,5726;0,6531;7;4;5;16;0;Jugando;4093,9455;Futbol;;;;;;;;;;;;;;;
Llegada Futbol 43;4127,9025;;;4254,3011;0,3685;275,8366;4403,7391;;;4300,5071;;;;4180,6155;Ocupada;1;;;201,444;230,5726;0,6531;7;4;5;17;0;Jugando;4093,9455;Futbol;En Espera;4127,9025;Futbol;;;;;;;;;;;;
Fin Ocupacion 44;4180,6155;;;4254,3011;;;4403,7391;;;4300,5071;Futbol;0,5718;91,436;4272,0514;Ocupada;0;;;201,444;283,2855;0,6531;7;5;5;17;0;Finalizo;4093,9455;Futbol;Jugando;4127,9025;Futbol;;;;;;;;;;;;
Llegada Basket 45;4254,3011;0,8857;572,5781;4826,8791;;;4403,7391;;;4300,5071;;;;4272,0514;Ocupada;1;;;201,444;283,2855;0,6531;7;5;5;18;0;En Espera;4254,3011;Basket;Jugando;4127,9025;Futbol;;;;;;;;;;;;
Fin Ocupacion 46;4272,0514;;;4826,8791;;;4403,7391;;;4300,5071;Basket;0,0729;74,374;4346,4254;Ocupada;0;;;219,1943;283,2855;0,6531;8;5;5;18;0;Jugando;4254,3011;Basket;Finalizo;4127,9025;Futbol;;;;;;;;;;;;
Llegada Handball 47;4300,5071;;;4826,8791;;;4403,7391;0,692;766,0857;5066,5927;;;;4346,4254;Ocupada;1;;;219,1943;283,2855;0,6531;8;5;5;19;0;Jugando;4254,3011;Basket;En Espera;4300,5071;Handball;;;;;;;;;;;;
Fin Ocupacion 48;4346,4254;;;4826,8791;;;4403,7391;;;5066,5927;Handball;0,3328;83,2959;4429,7213;Ocupada;0;;;219,1943;283,2855;46,5714;8;5;6;19;0;Finalizo;4254,3011;Basket;Jugando;4300,5071;Handball;;;;;;;;;;;;
Llegada Futbol 49;4403,7391;;;4826,8791;0,881;1277,3633;5681,1024;;;5066,5927;;;;4429,7213;Ocupada;1;;;219,1943;283,2855;46,5714;8;5;6;20;0;En Espera;4403,7391;Futbol;Jugando;4300,5071;Handball;;;;;;;;;;;;
Fin Ocupacion 50;4429,7213;;;4826,8791;;;5681,1024;;;5066,5927;Futbol;0,655;93,1;4522,8213;Ocupada;0;;;219,1943;309,2677;46,5714;8;6;6;20;0;Jugando;4403,7391;Futbol;Finalizo;4300,5071;Handball;;;;;;;;;;;;
Fin Ocupacion 51;4522,8212;;;4826,8791;;;5681,1024;;;5066,5927;;;;;Limpiando;0;10;4532,8213;219,1943;309,2677;46,5714;8;6;6;20;0;Finalizo;4403,7391;Futbol;;;;;;;;;;;;;;;
Fin de Limpieza 52;4532,8212;;;4826,8791;;;5681,1024;;;5066,5927;;;;;Libre;0;;;219,1943;309,2677;46,5714;8;6;6;20;0;;;;;;;;;;;;;;;;;;
Llegada Basket 53;4826,8791;0,3938;454,512;5281,3911;;;5681,1024;;;5066,5927;Basket;0,3597;91,5819;4918,461;Ocupada;0;;;219,1943;309,2677;46,5714;9;6;6;21;0;Jugando;4826,8791;Basket;;;;;;;;;;;;;;;
Fin Ocupacion 54;4918,461;;;5281,3911;;;5681,1024;;;5066,5927;;;;;Limpiando;0;10;4928,461;219,1943;309,2677;46,5714;9;6;6;21;0;Finalizo;4826,8791;Basket;;;;;;;;;;;;;;;
Fin de Limpieza 55;4928,461;;;5281,3911;;;5681,1024;;;5066,5927;;;;;Libre;0;;;219,1943;309,2677;46,5714;9;6;6;21;0;;;;;;;;;;;;;;;;;;
Llegada Handball 56;5066,5927;;;5281,3911;;;5681,1024;0,4026;696,627;5763,2197;Handball;0,2557;77,899;5144,4918;Ocupada;0;;;219,1943;309,2677;46,5714;9;6;7;22;0;Jugando;5066,5927;Handball;;;;;;;;;;;;;;;
Fin Ocupacion 57;5144,4918;;;5281,3911;;;5681,1024;;;5763,2197;;;;;Limpiando;0;10;5154,4918;219,1943;309,2677;46,5714;9;6;7;22;0;Finalizo;5066,5927;Handball;;;;;;;;;;;;;;;
Fin de Limpieza 58;5154,4918;;;5281,3911;;;5681,1024;;;5763,2197;;;;;Libre;0;;;219,1943;309,2677;46,5714;9;6;7;22;0;;;;;;;;;;;;;;;;;;
Llegada Basket 59;5281,3911;0,388;453,1307;5734,5218;;;5681,1024;;;5763,2197;Basket;0,4861;99,166;5380,5571;Ocupada;0;;;219,1943;309,2677;46,5714;10;6;7;23;0;Jugando;5281,3911;Basket;;;;;;;;;;;;;;;
Fin Ocupacion 60;5380,5571;;;5734,5218;;;5681,1024;;;5763,2197;;;;;Limpiando;0;10;5390,5571;219,1943;309,2677;46,5714;10;6;7;23;0;Finalizo;5281,3911;Basket;;;;;;;;;;;;;;;
Fin de Limpieza 61;5390,5571;;;5734,5218;;;5681,1024;;;5763,2197;;;;;Libre;0;;;219,1943;309,2677;46,5714;10;6;7;23;0;;;;;;;;;;;;;;;;;;
Llegada Futbol 62;5681,1024;;;5734,5218;0,1076;68,3257;5749,4281;;;5763,2197;Futbol;0,6694;93,388;5774,4904;Ocupada;0;;;219,1943;309,2677;46,5714;10;7;7;24;0;Jugando;5681,1024;Futbol;;;;;;;;;;;;;;;
Llegada Basket 63;5734,5218;0,0262;366,3083;6100,8301;;;5749,4281;;;5763,2197;;;;5774,4904;Ocupada;1;;;219,1943;309,2677;46,5714;10;7;7;25;0;Jugando;5681,1024;Futbol;En Espera;5734,5218;Basket;;;;;;;;;;;;
